Date,Close,High,Low,Open,Volume,SMA,SMA_prev,Signal,Strategy_Shares,Strategy_Cash,Strategy_Portfolio_Value,Buy_and_Hold_Portfolio_Value,Cumulative_Buy_and_Hold_Returns,Cumulative_Strategy_Returns,Strategy_Returns
2025-03-17,562.2236328125,564.7613936613525,557.4652782790344,557.9014587611023,49008700,565.6330390930176,565.4227583312988,0,0.0,1483767.9240986453,1483767.9240986453,1501157.7112084178,1.0007718074722785,0.9891786160657635,0.0
2025-03-18,556.1468505859375,560.1121055231899,554.203853884888,559.8939850390469,66041400,565.8311485290527,565.6330390930176,0,0.0,1483767.9240986453,1483767.9240986453,1484932.479883464,0.9899549865889761,0.9891786160657635,0.0
2025-03-19,562.2037963867188,565.9906223374012,556.7515705240334,557.9411591768904,66556000,566.0766752624512,565.8311485290527,0,0.0,1483767.9240986453,1483767.9240986453,1501104.7472243614,1.0007364981495743,0.9891786160657635,0.0
2025-03-20,560.5780639648438,565.6139553056482,557.7131523935891,558.4368526534365,62958200,566.2907060241699,566.0766752624512,0,0.0,1483767.9240986453,1483767.9240986453,1496763.9820572147,0.9978426547048098,0.9891786160657635,0.0
2025-03-21,560.762939453125,561.6677826377718,554.8469278493619,556.0897976294804,83763000,566.5035505676269,566.2907060241699,0,0.0,1483767.9240986453,1483767.9240986453,1497257.6063886192,0.9981717375924127,0.9891786160657635,0.0
2025-03-24,570.8053588867188,571.86926269199,566.9474862667257,567.5440394813636,58766800,566.7637110900879,566.5035505676269,1,2599.428861341703,0.0,1483767.9240986453,1524071.2344399965,1.0160474896266645,0.9891786160657635,0.0
2025-03-25,572.177490234375,573.1220227068575,570.4175672260229,572.0183689196199,38355700,566.999903717041,566.7637110900879,1,2599.428861341703,0.0,1487334.6819252947,1527734.8754417468,1.0184899169611645,0.9915564546168631,0.002403851551660896
2025-03-26,565.3466796875,573.0425195248911,563.9546412826954,571.9090077398645,51848300,567.2019911193847,566.999903717041,0,0.0,1469578.4758433907,1469578.4758433907,1509496.3608582362,1.0063309072388242,0.9797189838955938,-0.011938272063231503
2025-03-27,563.8452758789062,567.6434930945948,561.717468314772,563.944681183511,42164200,567.3997624206543,567.2019911193847,0,0.0,1469578.4758433907,1469578.4758433907,1505487.5576465435,1.0036583717643623,0.9797189838955938,0.0
2025-03-28,552.4904174804688,563.0399428035041,551.903816900767,562.304173568215,71662700,567.5326597595215,567.3997624206543,0,0.0,1469578.4758433907,1469578.4758433907,1475169.6694438988,0.9834464462959326,0.9797189838955938,0.0
2025-03-31,556.1991577148438,557.5116354900671,543.750554530121,546.6936920279248,95328200,567.6777680969238,567.5326597595215,0,0.0,1469578.4758433907,1469578.4758433907,1485072.141835268,0.9900480945568453,0.9797189838955938,0.0
2025-04-01,557.7700805664062,559.7288748312798,550.5216860996894,554.270200650382,54609600,567.8090824890137,567.6777680969238,0,0.0,1469578.4758433907,1469578.4758433907,1489266.5634403145,0.9928443756268763,0.9797189838955938,0.0
2025-04-02,561.2999267578125,564.1833483830226,551.645291964534,551.883913264606,76014500,567.9526954650879,567.8090824890137,0,0.0,1469578.4758433907,1469578.4758433907,1498691.3821785485,0.9991275881190324,0.9797189838955938,0.0
2025-04-03,533.6385498046875,544.844221821506,533.6385498046875,542.0005504953318,125986000,567.9563813781738,567.9526954650879,0,0.0,1469578.4758433907,1469578.4758433907,1424834.491623977,0.9498896610826513,0.9797189838955938,0.0
